img1	img2	dice	voxinmask	voxoutmask	ratio_inoutmask
sub-09_run-03	mni152	0.8164341807878257	86.48227167111393	13.517728328886067	6.397692686744544
sub-14_run-01	mni152	0.8193009494453641	88.87696340481743	11.123036595182564	7.990350714418258
sub-10_run-03	mni152	0.8477008773889632	88.79844822867207	11.20155177132793	7.927334537341975
sub-07_run-01	mni152	0.851025089714277	88.80817226218551	11.191827737814489	7.935091063108852
sub-05_run-01	mni152	0.8166690381864614	87.47854128896661	12.521458711033388	6.986289960919982
sub-04_run-02	mni152	0.8204026013297556	89.40068907408798	10.599310925912024	8.434575577505804
sub-06_run-01	mni152	0.8482524424411764	89.82596131210883	10.17403868789116	8.828938444967486
sub-10_run-02	mni152	0.8385546778295411	87.9055502034878	12.0944497965122	7.268255413225828
sub-16_run-01	mni152	0.8281595346267191	89.70543615150898	10.29456384849102	8.713864664082687
sub-14_run-03	mni152	0.8223185017950895	88.95400556809383	11.045994431906166	8.053055441631557
sub-13_run-03	mni152	0.8299737371670248	88.65311673959772	11.346883260402288	7.812992758017909
sub-01_run-03	mni152	0.8447083106069226	91.88845396997495	8.111546030025057	11.32810608851234
sub-02_run-01	mni152	0.8529237948901742	89.43044578501097	10.569554214989026	8.46113695676841
sub-04_run-03	mni152	0.8213365551727292	89.03629640341273	10.963703596587271	8.121005426590292
sub-16_run-03	mni152	0.8218401821932199	89.56195474145134	10.438045258548652	8.580337843247138
sub-04_run-01	mni152	0.8153741324727923	89.34905533742743	10.65094466257257	8.38883856484581
sub-01_run-02	mni152	0.8419815110177562	91.74235145925405	8.25764854074596	11.109985004395265
sub-11_run-02	mni152	0.8055252180508153	88.40504917241351	11.594950827586494	7.624443646805457
sub-15_run-01	mni152	0.8220558115234782	88.46990661516648	11.53009338483352	7.672956641577441
sub-03_run-03	mni152	0.8147959164389412	88.23892986664265	11.761070133357347	7.5026276406918875
sub-13_run-01	mni152	0.8383625013722795	88.66242293218032	11.337577067819682	7.8202267029203005
sub-07_run-03	mni152	0.8126371300643468	90.6159335567738	9.384066443226203	9.65636103548521
sub-09_run-01	mni152	0.8279152430595661	87.22267581528993	12.777324184710077	6.826364781419926
sub-12_run-03	mni152	0.8259338414691809	88.4454760139829	11.554523986017102	7.654618755477651
sub-06_run-03	mni152	0.8505493074282913	89.80170429957494	10.198295700425064	8.805559961928934
sub-03_run-01	mni152	0.8267783695672776	88.63871898559266	11.361281014407348	7.801824360579503
sub-15_run-02	mni152	0.8082149767325627	88.3073040564301	11.692695943569907	7.55234759225843
sub-08_run-01	mni152	0.8306400440754602	88.88220298670093	11.117797013299073	7.994587675991955
sub-02_run-02	mni152	0.8534113878189238	89.45803000683608	10.54196999316391	8.48589306029579
sub-12_run-01	mni152	0.8249902463911647	87.740380779113	12.259619220886995	7.156860192658161
sub-17_run-01	mni152	0.7309328617724966	85.14598461505312	14.854015384946887	5.732186375768829
sub-13_run-02	mni152	0.8399567747928792	88.8160980831606	11.1839019168394	7.94142319412081
sub-10_run-01	mni152	0.8469492336073975	88.99108182702892	11.008918172971075	8.083544670676037
sub-03_run-02	mni152	0.8271194922772458	88.65221136810624	11.347788631893764	7.812289622573945
sub-06_run-02	mni152	0.8452097831356576	89.44746761037922	10.552532389620778	8.476398300218214
sub-11_run-01	mni152	0.8092779389455194	88.67969335888675	11.320306641113241	7.83368297081447
sub-15_run-03	mni152	0.7935164538786178	88.4001608091238	11.599839190876198	7.620809164204152
sub-08_run-02	mni152	0.8277752744319193	88.55581526296388	11.444184737036121	7.7380623694736475
sub-17_run-03	mni152	0.7405709669529901	85.45412563551078	14.545874364489217	5.874801575636428
sub-07_run-02	mni152	0.8397074979401263	89.32329179566878	10.676708204331224	8.366182730313167
sub-01_run-01	mni152	0.8392988980339613	91.4231006531498	8.576899346850201	10.659225083097684
sub-05_run-02	mni152	0.7992498387451576	86.88106673151357	13.118933268486433	6.622570978405264
sub-02_run-03	mni152	0.8543813791862962	89.7634977564051	10.236502243594899	8.768961860245886
sub-09_run-02	mni152	0.8292534300347677	87.51316739457208	12.486832605427924	7.008436018957347
sub-11_run-03	mni152	0.8046802489235123	88.66200606883602	11.337993931163975	7.819902410173
sub-16_run-02	mni152	0.8288080781668775	89.89856438575565	10.101435614244362	8.899582972046742
sub-14_run-02	mni152	0.8233061938271276	89.02832423524565	10.971675764754352	8.114377980548984
sub-17_run-02	mni152	0.7834110832009022	85.16834788977971	14.831652110220297	5.74233721616834
sub-12_run-02	mni152	0.8202921640786285	87.42650781060041	12.573492189399586	6.95323991884352
sub-05_run-03	mni152	0.7899067797555525	86.52153548518481	13.478464514815192	6.419242740156529
sub-08_run-03	mni152	0.827648817324384	88.82248629257455	11.177513707425451	7.9465334257266855
